,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score
EDELWEISS,1.901366279902395,2.5469484702369165,4.135780933969269,2.5192968900139725,2.007814301718343,2.1906891743821735,2.264602901015244,3.148282509591641,5.763923299536554,3.701526111865589,2.511016373743317,1.0632424650155952,3.333069228036209,4.622075985246282,3.977572606641245
IIFLSEC,4.419728404006709,4.061154371602942,3.503886854275321,2.196822354573892,2.2924927302298084,2.279729467398204,5.55481004624396,5.280774146066782,4.343030423990955,3.2201900973258173,1.4100285813574653,1.6699918703769268,3.2232210078304164,4.193727070406579,3.7084740391184976
JMFINANCIL,1.4677153331704247,3.041828001203887,3.291079986608414,2.891276699243188,2.7556009412607887,2.8168549837105226,1.5020351564505172,3.122832830972415,3.6278836781865196,3.4677512787035845,2.6107418896029317,0.5059125439978314,3.121288603317941,3.478833788898818,3.3000611961083797
PAYTM,0.46414847074157395,2.436532266911434,3.464324862397301,2.611914842773418,1.935299765431047,1.7110466912574305,0.5163577949921164,2.8328248506505016,4.055339759863447,2.954114489358284,1.4986998367509097,1.402603397691942,3.0030433374129624,3.4804691968693087,3.2417562671411355
CHOLAHLDNG,2.1090492333328577,3.2047151504206735,3.3995126328888547,3.368964938805479,2.1250005007603505,1.6436786927702944,1.759309918018692,2.850928845267388,2.605642927563084,3.700931085641195,2.3960052758955257,1.225094132827777,3.351388828170206,2.9832865585273782,3.167337693348792
DHUNINV,2.762436066267894,2.512127538130227,2.7688053964374966,2.3616526285694612,1.6008048889245359,1.3944742628233011,3.84555804996577,3.2474517729740855,3.9365412785898277,2.782380924848123,0.5875360116995465,0.4841117243423986,2.595323994415632,3.4524752713441678,3.0238996328798997
SUMMITSEC,2.9776276754724487,3.315077781971094,2.743058088463085,2.256432594774651,2.4972670019205827,1.8368257273535247,3.2426398638398575,3.776385203502074,2.795931596747198,3.4862806361021943,2.692770897158276,1.816233682794698,2.711474379058157,3.1991270299046723,2.955300704481415
MCX,3.9862506215667155,2.5136152361629067,3.5122824129267327,2.2511770742448425,1.1658531584976262,1.4135864821934008,3.4145641623619962,2.1738563115720018,2.7693229753635915,1.5346029609336242,0.964931160225928,0.9692280575547259,2.9342173759694004,2.2798136382762832,2.607015507122842
GEOJITFSL,3.135524658766111,2.830417509596832,2.7350214717821917,0.8524991879093449,1.2721513155611543,1.6125994111587652,3.6683822389751275,3.668066809372352,3.7104503769947663,0.6336544880136349,0.6802535801104874,0.7156935814348496,2.1893439941832655,2.778934896775944,2.484139445479605
ARIHANTCAP,1.029436085408021,2.5833672904808394,2.4082527922900394,1.7523373306962435,1.6163363992707798,1.54300287927678,1.0379603023392248,2.9158339698615983,3.0685972111969733,1.9791435272506332,0.5685155390741827,0.5235586434757722,2.2465010534500607,2.7112084577459963,2.4788547555980287
