,score_1y,score_6m,score_3m,score_1m,score_2w,score_1w,alpha_1y,alpha_6m,alpha_3m,alpha_1m,alpha_2w,alpha_1w,final_moment_score,final_alpha_score,final_score,weighted_return,maxSR_portfolio_weights
ABCAPITAL,0.739879769598168,1.7172446764118985,2.546146937079232,1.2161450472967053,1.5927229488159753,1.082828051834712,0.6620648862457011,1.385296812103053,2.383999419192678,1.5767741363611907,1.635306135071682,1.6496477120417867,1.9813659180110073,1.9420913129253068,1.961728615468157,0.32089652946475045,0.0
ANANDRATHI,6.783286973117406,3.0756799438195235,2.248986463697997,2.377430851866301,3.608915189735913,1.0999732250178584,5.377255186680727,2.411362961827596,1.608649795848418,1.4081817541139572,1.7157110682414178,1.248120567147646,2.4528584761727936,1.7090520165239154,2.0809552463483545,1.6749144685432615,35.12
CAMS,1.175462787036786,1.5305309938705551,1.9751251120106748,2.192160670237447,2.1653426101534814,1.082301689099613,0.9238219725781627,1.2638879199419635,1.7617467292184514,1.96277971323053,2.089932058269783,0.6767506353853189,1.9513169558506824,1.7224848625667775,1.83690090920873,0.4978488612494414,0.0
CENTRUM,1.2024014965729162,1.302948454230956,1.663861612626327,1.1524906567319835,0.4226592159603463,1.0619930007830798,1.5592533148318604,1.5713483817320975,2.1786747779463926,1.5652793530532298,0.6442065845901624,0.9252299538142341,1.4382676941789496,1.8731908712355847,1.6557292827072672,0.9476227986278278,0.0
CHOICEIN,2.491304228748624,4.022077104821234,3.8560895578235983,2.103537944606994,2.392594983308399,1.091896367492943,1.4041677244898234,2.388307594524392,2.7364519273263817,1.667033170457997,1.7184166976908952,1.5423246316981147,3.363521583258144,2.3459974337054685,2.8547595084818065,0.6850384594408289,13.12
DOLATALGO,2.146077939156882,2.681715217952938,4.217845649388965,1.4827728444842294,0.741793670764914,1.0858932457138428,2.8395100132056483,3.7652688909119343,6.603002886124604,1.9217637796148916,0.34897625134208565,0.3672062016959447,3.090097721630339,4.631084355129156,3.8605910383797477,1.328826900402967,0.0
GEOJITFSL,1.840033700879296,1.817512448953394,2.6661249938481006,0.9761646814742676,0.48807750955978213,1.0817010280952928,1.7778535945333331,1.8488380832338756,3.220397418411503,0.881711860578724,0.4252433340322466,0.5552994166094392,1.9894143911570095,2.244479884026144,2.116947137591577,0.9286705621216924,0.0
HUDCO,3.7473122586311463,4.8556872818104235,3.005261384323552,3.2375960874554504,2.2695603586829725,1.0898269452604348,4.699973515551267,6.795803454184721,3.7573269220688386,4.66652171038718,2.053729616849836,0.8418962461051277,3.445046974760496,4.637780664987517,4.041413819874006,1.7442956982912512,1.63
IFCI,3.7320852563240536,3.0473035106637845,2.2884148128732242,2.0470841086673923,0.6940024104655077,1.084871338664751,5.297422916884161,4.216795926701318,2.766717477829404,3.3897902327939584,0.6658779155459864,0.6948120004233737,2.3677933411695866,3.243654994093153,2.80572416763137,1.878021197376446,1.38
IIFLSEC,2.522586419290065,2.12784841687386,2.403040292085217,4.257036252958587,2.7607844496181624,1.0926264632520193,3.049164790341975,2.370976989476696,3.26411593647278,6.42031706354202,4.031030967098639,0.5974199012114861,2.904200705304957,4.032348485194335,3.468274595249646,1.360549224894521,1.32
INDIANB,1.8144202604764188,2.080337898647572,1.6811134739656333,2.1972887946183572,2.08700147579395,1.0825063227168428,1.5610780563442939,1.724954250212175,1.484788233309576,1.7923965781739049,1.5523011074074011,0.37525588545682653,1.9158109550978382,1.6251039401493945,1.7704574476236163,0.8008671173961142,2.38
IOB,1.9673478145795025,2.2435008409920094,1.4138448475173329,1.9107574020868614,1.9446545142572997,1.0775746888707864,2.2310687078751994,2.515869920077625,1.7144891028069391,2.5862552612505687,2.946203378588673,1.4482370464731398,1.7288498125831269,2.1362951137941653,1.932572463188646,1.1773591767135612,0.0
IRFC,4.600979469339122,3.4747725001635943,2.2427941929071453,2.568888210755242,1.8116832353123609,1.077385130791121,5.723558202616923,4.3346246803802675,2.512528733030035,4.251989294362743,3.358342182334733,1.0112234420994806,2.587018059712864,3.3987860908998937,2.992902075306379,1.9088569439705658,6.5
KICL,2.062150051477546,1.6169237495941107,1.6783870263769716,1.9121821931661331,1.5543486030743758,1.080981907277701,1.8896487274094906,1.583399859120942,2.037207029005404,1.4563849969469538,0.8198687065814747,0.47758783944833555,1.7362329210571477,1.7721989854109763,1.754215953234062,0.9732799659233083,0.0
MAHABANK,1.7837460666219833,2.3307713350861636,2.129365105481492,1.83013680382176,2.336583981204532,1.083279046415502,1.565979902262019,2.0341974238752454,2.1563046744339784,2.0191992906988614,2.7220606685672957,1.7352108522428111,2.0798778609045065,2.0907516092016967,2.0853147350531014,0.8900513951591791,0.0
MAXIND,1.9229550172979404,2.9223514498091756,2.6584662317051646,1.5547122063067182,1.126291956642243,1.0755753464760758,2.191675664963194,3.0367258258733902,2.4276009293286096,1.485306491884063,1.082549635870567,0.6658625324446441,2.3801170677064327,2.266737577404202,2.3234273225553173,1.0630297190268723,2.74
MOTILALOFS,3.3224126547917225,2.965244027167836,2.988924119609729,0.7874891853762532,0.6703309495055875,1.0816878622926018,3.276544776704285,3.026599344291665,3.357945050986006,1.1734928041641162,0.5171447660598478,0.41968223902103585,2.3237576208513078,2.6363402356005707,2.4800489282259393,1.3644626903072992,0.74
MUTHOOTFIN,1.24358015375218,1.298912280191299,3.67161078260717,1.5090054751622652,1.3530961873061904,1.084362014249599,0.8263575202490824,0.9646099792356704,2.6926793219717835,1.6456950596349151,1.5306790291753025,2.10668116570337,2.548289489890524,2.0329701747235003,2.2906298323070122,0.43950051023111647,0.0
NAM-INDIA,2.6031789043630766,2.0168613898118313,2.2243633524780106,1.7791568355414202,1.688638240579104,1.0809976222289037,1.9735613580392308,1.665550710642089,2.040807593607581,1.8156414782679395,2.405135000870886,0.8138006172122776,2.0493010048637976,1.89820638241259,1.9737536936381939,0.94762995388395,13.23
PFC,3.448516925452545,1.6141357300645374,2.4488230929178165,2.610280895179391,2.1795743436088073,1.0740470015063166,3.0607340119750313,1.4357466156382603,2.580201093426105,3.2189582608597416,1.8369627994413333,0.8903422323410904,2.330322961025633,2.542937348098627,2.4366301545621303,1.314856383222647,3.45
PNB,2.701612331468991,2.9402747387012838,1.5859559409026993,1.7580264721658112,2.238205181533234,1.0862877714898855,1.9557918277672046,2.183845204312285,1.4746326075332494,1.4847669842726132,1.3916155954619536,1.1986496110594949,1.9084408598413498,1.6195154399108658,1.7639781498761078,0.9876607528359459,0.0
POLICYBZR,1.8692487963683353,2.128794455903088,1.7570183440953313,1.5008024245900076,1.2146446093564018,1.08881010415476,1.6508408834627941,1.9898358515366685,1.653709244044539,1.0724884711033462,0.5418083548987431,3.1755904940287376,1.7545087906052854,1.546568333660607,1.6505385621329463,0.856180967950305,2.79
PRIMESECU,1.4451946363947106,1.2709249292014793,1.977616981095649,3.423788009809903,2.0374240891003357,1.0841666323600108,1.0944438351863246,1.0393202045142949,1.593158308116204,2.477091822187451,1.605578975845418,1.29112918842536,2.2701298793310913,1.7475707416171964,2.008850310474144,0.5911318112481904,0.0
PRUDENT,1.1478015982574599,1.5759642510446348,2.36989679067218,1.6358949387921562,1.7017770014123998,1.0809711467735654,1.1592115976391084,1.4912795492177047,2.1862230785393804,1.7795863103071454,2.012208431213894,0.9279282810709484,1.9909097271826637,1.9252433422053745,1.958076534694019,0.6516136537825525,0.0
RECLTD,3.954912562091416,1.8236083178224947,2.3211353960739647,1.8777918813816925,1.4123889872162771,1.069801900200007,3.6636888305073696,1.6726252805807436,2.4626759697646645,2.1164833853608656,1.3860376693353533,1.1938086509575905,2.088626926015989,2.2008080566067405,2.144717491311365,1.4529478872560981,3.34
SBIN,1.3060301155790264,3.183131979176819,2.4736976926959526,2.2627980394332967,1.87459768740291,1.0844482800534545,0.7684700773571111,1.8093269480310292,1.6320511036635592,0.8810812224212708,1.4614221208531475,0.9113223823807021,2.5523146540133292,1.4422153081643667,1.9972649810888479,0.3796276227328392,0.0
SMCGLOBAL,1.8909606747079826,2.318887197107997,2.5021208926948315,1.7394843406284048,1.1600377161468778,1.0875584698882477,1.7227175079297554,2.267375626194387,2.5332349214685754,1.1627235001394456,1.2369896860725786,2.124726031138355,2.236683187957537,2.068909636014999,2.1527964119862677,0.8672605367241318,2.84
UNIONBANK,2.126670673218822,2.295277066270522,1.7415981962960458,2.304605775991969,3.0797971638217847,1.0866532596342777,1.7235724841917504,1.8673833269298004,1.7088842981758054,2.503472361385774,4.076417040881681,2.8590030091458924,2.021236244199718,1.978960522889595,2.0000983835446564,0.9039589212824263,3.08
VIJIFIN,1.1101071122835766,3.9163916759429704,2.921613913752136,1.248433810274824,0.1466708307093037,1.064445664711627,1.3415937197109136,4.026851765466697,2.604669093264069,1.4596111525520226,0.39069660156471997,0.7772194828084692,2.6186154351471096,2.545588245490981,2.582101840319045,0.7861186279946832,6.33
